QID,Question,Key
1,I like fixing or building things with tools or kits.,R
2,"I enjoy working with plants, animals, or nature.",R
3,I prefer doing hands-on tasks rather than reading about them.,R
4,I would enjoy learning how machines or engines work.,R
5,I like outdoor tasks such as gardening or setting up equipment.,R
6,"I am comfortable using simple tools (screwdriver, pliers, drill) under guidance.",R
7,I enjoy solving puzzles and brainteasers.,I
8,I like finding patterns in data or information.,I
9,I’m curious about how things work and why they happen.,I
10,I enjoy science experiments or investigations.,I
11,I like comparing results and drawing conclusions from evidence.,I
12,I enjoy using logic to figure out the best answer.,I
13,"I like drawing, painting, music, or creative writing.",A
14,I enjoy imagining new ideas or designing original things.,A
15,I prefer open-ended tasks with room for creativity.,A
16,"I like performing (singing, acting, dancing) or creating digital art/videos.",A
17,I enjoy expressing my feelings or ideas through art.,A
18,I like making something unique that shows my style.,A
19,I enjoy helping classmates understand a topic.,S
20,I like listening to people’s problems and encouraging them.,S
21,I enjoy working in teams and keeping everyone included.,S
22,I like volunteering or activities that help the community.,S
23,I feel good when I support someone to do better.,S
24,"I prefer peaceful, friendly group work over competition.",S
25,I enjoy selling ideas or convincing people to try something.,E
26,I like taking the lead in group tasks.,E
27,I feel comfortable speaking in front of a group.,E
28,I like starting projects and getting others excited to join.,E
29,I enjoy planning events or activities.,E
30,I like setting goals and working hard to achieve them.,E
31,"I enjoy organizing files, lists, or schedules neatly.",C
32,I prefer clear rules and instructions for my tasks.,C
33,"I like working with tables, forms, or spreadsheets.",C
34,I pay attention to details and double-check my work.,C
35,I like following a step-by-step process to finish tasks.,C
36,I feel satisfied when things are well arranged and on time.,C
